"filename","tc"
"omp_32_co_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.043822"
"omp_32_co_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.318888"
"omp_32_co_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.315121"
"omp_32_co_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.043853"
"omp_32_co_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.095155"
"omp_32_co_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.246889"
"omp_32_co_TC_OMP_V_IntType_ClauseRed_Default.cpp
","0.089242"
"omp_32_co_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.095077"
"omp_32_co_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.244581"
"omp_32_soc_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001405"
"omp_32_soc_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.017762"
"omp_32_soc_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.010945"
"omp_32_soc_TC_OMP_E_IntType_Reduction_Default.cpp
","0.028741"
"omp_32_soc_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.018060"
"omp_32_soc_TC_OMP_E_IntType_GlobalAdd_Dynamic.cpp
","0.010588"
"omp_32_soc_TC_OMP_E_IntType_ClauseRed_Default.cpp
","0.028341"
"omp_32_soc_TC_OMP_E_IntType_ClauseRed_Dynamic.cpp
","0.015261"
"omp_32_soc_TC_OMP_E_IntType_Reduction_Dynamic.cpp
","0.015102"
"omp_32_soc_TC_OMP_E_IntType_CriticalRed_Default.cpp
","0.001818"
"omp_32_soc_TC_OMP_V_IntType_Reduction_Default.cpp
","0.010504"
"omp_32_soc_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.008888"
"omp_32_soc_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.104578"
"omp_32_soc_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.102843"
"omp_32_soc_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.012930"
"omp_32_soc_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.010428"
"omp_32_soc_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.084679"
"omp_32_soc_TC_OMP_V_IntType_ClauseRed_Default.cpp
","0.010525"
"omp_32_soc_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.010448"
"omp_32_soc_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.077751"
