"filename","tc"
"16_rmat_TC_V_Block_Persist_Reduction_IntType_Atomic.cu
","0.066071"
"16_rmat_TC_V_Thread_Persist_Reduction_IntType_CudaAtomic.cu
","0.060729"
"16_rmat_TC_V_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.035692"
"16_rmat_TC_V_Thread_NonPersist_BlockAdd_IntType_Atomic.cu
","0.058230"
"16_rmat_TC_V_Thread_NonPersist_Reduction_IntType_Atomic.cu
","0.058258"
"16_rmat_TC_V_Warp_Persist_BlockAdd_IntType_Atomic.cu
","0.097425"
"16_2d_TC_E_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.002408"
"16_2d_TC_E_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.088046"
"16_2d_TC_E_Thread_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.802423"
"16_2d_TC_E_Warp_NonPersist_Reduction_IntType_Atomic.cu
","0.644644"
"16_2d_TC_E_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.088092"
"16_2d_TC_E_Warp_Persist_Reduction_IntType_Atomic.cu
","0.747437"
"16_2d_TC_E_Warp_Persist_BlockAdd_IntType_Atomic.cu
","0.740068"
"16_2d_TC_E_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.101333"
"16_2d_TC_E_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.800896"
"16_2d_TC_E_Block_Persist_Reduction_IntType_Atomic.cu
","0.100952"
"16_2d_TC_E_Thread_NonPersist_BlockAdd_IntType_Atomic.cu
","0.800588"
"16_2d_TC_E_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.696399"
"16_2d_TC_E_Thread_Persist_Reduction_IntType_Atomic.cu
","0.817760"
"16_2d_TC_E_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","0.645842"
"16_2d_TC_E_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.683008"
"16_2d_TC_E_Warp_Persist_Reduction_IntType_CudaAtomic.cu
","0.747060"
"16_2d_TC_E_Thread_Persist_GlobalAdd_IntType_Atomic.cu
","0.816812"
"16_2d_TC_E_Warp_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.683565"
"16_2d_TC_E_Thread_Persist_BlockAdd_IntType_Atomic.cu
","0.817424"
"16_2d_TC_E_Block_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.090298"
"16_2d_TC_E_Thread_Persist_Reduction_IntType_CudaAtomic.cu
","0.814596"
"16_2d_TC_E_Thread_NonPersist_Reduction_IntType_Atomic.cu
","0.801174"
"16_2d_TC_E_Block_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.087974"
"16_2d_TC_E_Thread_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.816800"
"16_2d_TC_E_Block_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.002399"
"16_2d_TC_E_Block_NonPersist_Reduction_IntType_Atomic.cu
","0.061653"
"16_2d_TC_E_Block_Persist_Reduction_IntType_CudaAtomic.cu
","0.090349"
"16_2d_TC_E_Block_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.088037"
"16_2d_TC_E_Warp_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.037719"
"16_2d_TC_E_Warp_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.744795"
"16_2d_TC_E_Thread_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.814407"
"16_2d_TC_E_Block_NonPersist_BlockAdd_IntType_Atomic.cu
","0.067503"
"16_2d_TC_E_Warp_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.037708"
"16_2d_TC_E_Warp_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.739673"
"16_2d_TC_E_Warp_Persist_GlobalAdd_IntType_Atomic.cu
","0.747590"
"16_2d_TC_E_Thread_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.696394"
"16_2d_TC_V_Warp_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.653397"
"16_2d_TC_V_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.207260"
"16_2d_TC_V_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.012319"
"16_2d_TC_V_Thread_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.811913"
"16_2d_TC_V_Block_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.009439"
"16_2d_TC_V_Warp_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.012088"
"16_2d_TC_V_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.011855"
"16_2d_TC_V_Block_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.205512"
"16_2d_TC_V_Warp_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.816309"
"16_2d_TC_V_Thread_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.778266"
"16_2d_TC_V_Warp_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.127630"
"16_2d_TC_V_Thread_Persist_GlobalAdd_IntType_Atomic.cu
","0.708033"
"16_2d_TC_V_Thread_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.087338"
"16_2d_TC_V_Thread_Persist_Reduction_IntType_Atomic.cu
","0.814125"
"16_2d_TC_V_Block_Persist_Reduction_IntType_CudaAtomic.cu
","0.206068"
"16_2d_TC_V_Warp_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.127789"
"16_2d_TC_V_Thread_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.087588"
"16_2d_TC_V_Block_NonPersist_BlockAdd_IntType_Atomic.cu
","0.157574"
"16_2d_TC_V_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.205493"
"16_2d_TC_V_Block_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.214794"
"16_2d_TC_V_Block_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.011653"
"16_2d_TC_V_Block_NonPersist_Reduction_IntType_Atomic.cu
","0.155009"
"16_2d_TC_V_Thread_Persist_BlockAdd_IntType_Atomic.cu
","0.813152"
"16_2d_TC_V_Warp_NonPersist_Reduction_IntType_Atomic.cu
","0.768829"
"16_2d_TC_V_Warp_Persist_Reduction_IntType_CudaAtomic.cu
","0.818708"
"16_2d_TC_V_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","0.772402"
"16_2d_TC_V_Warp_Persist_Reduction_IntType_Atomic.cu
","0.820147"
"16_2d_TC_V_Warp_Persist_GlobalAdd_IntType_Atomic.cu
","0.666696"
"16_2d_TC_V_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.685342"
"16_2d_TC_V_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.779877"
"16_2d_TC_V_Block_Persist_Reduction_IntType_Atomic.cu
","0.206030"
