"filename","pr"
"__32_ny_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.007746"
"__32_ny_PR-Push_FloatType_Critical_Block.cpp
","0.008276"
"__32_ny_PR-Push_FloatType_Critical_Cyclic.cpp
","0.005487"
"__32_ny_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.005278"
"__32_ny_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.014326"
"__32_ny_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.031125"
"__32_ny_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.016092"
"__32_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.030226"
"__32_ny_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.013259"
"__32_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.013019"
"__32_ny_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.030973"
"__32_ny_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.013852"
"__32_ny_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.027929"
"__32_ny_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.030658"
"__32_ny_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.014749"
"__32_ny_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.027327"
"__16_rmat_PR-Push_FloatType_Critical_Cyclic.cpp
","0.011966"
"__16_rmat_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.011576"
"__16_rmat_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.011653"
"__16_rmat_PR-Push_FloatType_Reduction_Block.cpp
","0.015612"
"__16_rmat_PR-Push_FloatType_Critical_Block.cpp
","0.015699"
"__16_rmat_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.015709"
"__16_rmat_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.025563"
"__16_rmat_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.025151"
"__16_rmat_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.025854"
"__16_rmat_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.035123"
"__16_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.022742"
"__16_rmat_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.035227"
"__16_rmat_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.025482"
"__16_rmat_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.022735"
"__16_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.025382"
"__16_rmat_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.035261"
"__16_rmat_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.022530"
"__16_rmat_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.025529"
"__16_2d_PR-Push_FloatType_Critical_Cyclic.cpp
","0.057625"
"__16_2d_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.056693"
"__16_2d_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.056084"
"__16_2d_PR-Push_FloatType_Reduction_Block.cpp
","0.069565"
"__16_2d_PR-Push_FloatType_Critical_Block.cpp
","0.069213"
"__16_2d_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.070122"
"__16_2d_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.256236"
"__16_2d_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.164283"
"__16_2d_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.257908"
"__16_2d_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.317271"
"__16_2d_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.129535"
"__16_2d_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.315764"
"__16_2d_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.191474"
"__16_2d_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.126607"
"__16_2d_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.163450"
"__16_2d_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.319495"
"__16_2d_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.127977"
"__16_2d_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.164541"
"__16_co_PR-Push_FloatType_Critical_Cyclic.cpp
","0.021143"
"__16_co_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.022308"
"__16_co_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.021887"
"__16_co_PR-Push_FloatType_Reduction_Block.cpp
","0.020103"
"__16_co_PR-Push_FloatType_Critical_Block.cpp
","0.019694"
"__16_co_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.020295"
"__16_co_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.163996"
"__16_co_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.068061"
"__16_co_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.149472"
"__16_co_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.129760"
"__16_co_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.085634"
"__16_co_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.130680"
"__16_co_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.146741"
"__16_co_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.086143"
"__16_co_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.068180"
"__16_co_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.128671"
"__16_co_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.086860"
"__16_co_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.067695"
"__16_soc_PR-Push_FloatType_Critical_Cyclic.cpp
","0.012020"
"__16_soc_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.012174"
"__16_soc_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.012078"
"__16_soc_PR-Push_FloatType_Reduction_Block.cpp
","0.009999"
"__16_soc_PR-Push_FloatType_Critical_Block.cpp
","0.010045"
"__16_soc_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.010009"
"__16_soc_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.028999"
"__16_soc_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.035797"
"__16_soc_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.029439"
"__16_soc_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.052286"
"__16_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.021494"
"__16_soc_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.053024"
"__16_soc_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.028682"
"__16_soc_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.021325"
"__16_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.035551"
"__16_soc_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.052186"
"__16_soc_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.021102"
"__16_soc_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.034901"
"__16_ny_PR-Push_FloatType_Critical_Cyclic.cpp
","0.003782"
