"filename","pr"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Block_Reduction.cu
","0.004473"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Warp_BlockAdd.cu
","0.009025"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Thread_Reduction.cu
","0.439832"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Block_GlobalAdd.cu
","0.000049"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Warp_Reduction.cu
","0.065988"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Block_BlockAdd.cu
","0.002081"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Thread_Reduction.cu
","0.523368"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Thread_BlockAdd.cu
","0.205837"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Thread_BlockAdd.cu
","0.186821"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Block_BlockAdd.cu
","0.000530"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Warp_BlockAdd.cu
","0.006744"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Block_Reduction.cu
","0.006867"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Thread_GlobalAdd.cu
","0.039540"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Block_GlobalAdd.cu
","0.000054"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Warp_Reduction.cu
","0.084045"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Warp_GlobalAdd.cu
","0.000961"
"ny_3090_PR_CUDA_Push_FloatType_NonPersist_Thread_GlobalAdd.cu
","0.038889"
"ny_3090_PR_CUDA_Push_FloatType_Persist_Warp_GlobalAdd.cu
","0.000972"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_GlobalAdd.cu
","0.034139"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_Reduction.cu
","0.004469"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_Reduction.cu
","0.035707"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_BlockAdd.cu
","0.000051"
"ny_3090_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_Reduction.cu
","0.602932"
"ny_3090_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_GlobalAdd.cu
","0.008186"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_BlockAdd.cu
","0.019079"
"ny_3090_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_BlockAdd.cu
","0.000090"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_BlockAdd.cu
","0.000531"
"ny_3090_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_GlobalAdd.cu
","0.043104"
