"filename","sssp"
"omp_32_ny_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","0.001275"
"omp_32_ny_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Dynamic.cpp
","0.001253"
"omp_32_ny_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","0.002105"
"omp_32_ny_SSSP_OMP_E_Data_Push_Determ_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Dynamic.cpp
","0.000562"
"omp_32_ny_SSSP_OMP_E_Data_Push_Determ_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","0.000564"
"omp_32_ny_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000712"
"omp_32_ny_SSSP_OMP_E_Topo_Push_Determ_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000483"
"omp_32_ny_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000712"
"omp_32_ny_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000712"
"omp_32_ny_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000712"
"omp_32_ny_SSSP_OMP_E_Topo_Push_Determ_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000481"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.001191"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.002578"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.001728"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.000917"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.002602"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.001210"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.001747"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.000751"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.000773"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.000906"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.000762"
"omp_32_ny_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.000771"
"omp_32_ny_SSSP_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.002226"
"omp_32_ny_SSSP_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.000501"
"omp_32_ny_SSSP_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.002227"
"omp_32_ny_SSSP_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NoRangeBug.cpp
","0.000498"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000340"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000650"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000647"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000643"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000647"
"omp_32_ny_SSSP_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000340"
"omp_32_ny_SSSP_OMP_V_Topo_Pull_IntType_Determ_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000334"
"omp_32_ny_SSSP_OMP_V_Topo_Pull_IntType_NonDeterm_Default_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000608"
"omp_32_ny_SSSP_OMP_V_Topo_Pull_IntType_Determ_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000332"
"omp_32_ny_SSSP_OMP_V_Topo_Pull_IntType_NonDeterm_Dynamic_NoBoundsBug_Atomic_NoRangeBug.cpp
","0.000610"
