"filename","pr"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Block_BlockAdd.cu
","0.004935"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Warp_Reduction.cu
","0.307427"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Thread_GlobalAdd.cu
","0.432430"
"16_2d_PR_CUDA_Push_FloatType_Persist_Warp_GlobalAdd.cu
","0.003437"
"16_2d_PR_CUDA_Push_FloatType_Persist_Block_GlobalAdd.cu
","0.000182"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Warp_GlobalAdd.cu
","0.003426"
"16_2d_PR_CUDA_Push_FloatType_Persist_Warp_BlockAdd.cu
","0.142345"
"16_2d_PR_CUDA_Push_FloatType_Persist_Thread_BlockAdd.cu
","2.684356"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Block_GlobalAdd.cu
","0.000117"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Warp_BlockAdd.cu
","0.139683"
"16_2d_PR_CUDA_Push_FloatType_NonPersist_Block_Reduction.cu
","0.009043"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_BlockAdd.cu
","0.001745"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_GlobalAdd.cu
","0.092542"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_Reduction.cu
","1.138974"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_BlockAdd.cu
","0.000219"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_BlockAdd.cu
","0.000329"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_GlobalAdd.cu
","0.232468"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_Reduction.cu
","0.047747"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_BlockAdd.cu
","0.056965"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_GlobalAdd.cu
","0.463875"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_BlockAdd.cu
","0.060982"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_Determ_BlockAdd.cu
","0.000059"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_Determ_Reduction.cu
","0.005034"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_BlockAdd.cu
","0.003239"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_Reduction.cu
","1.330253"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_BlockAdd.cu
","0.000106"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_GlobalAdd.cu
","0.490204"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_BlockAdd.cu
","0.001008"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_GlobalAdd.cu
","0.366855"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_NonDeterm_Reduction.cu
","0.008005"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_Determ_Reduction.cu
","4.448039"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_Reduction.cu
","1.486442"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_GlobalAdd.cu
","0.471770"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_BlockAdd.cu
","0.001934"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_GlobalAdd.cu
","0.367527"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_GlobalAdd.cu
","0.481357"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_Reduction.cu
","0.124720"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_NonDeterm_Reduction.cu
","1.322279"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_Reduction.cu
","0.084825"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_GlobalAdd.cu
","0.490536"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_GlobalAdd.cu
","0.139066"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_Reduction.cu
","4.554993"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Thread_NonDeterm_BlockAdd.cu
","0.081298"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Block_Determ_GlobalAdd.cu
","0.202994"
"16_2d_PR_CUDA_Pull_FloatType_NonPersist_Warp_Determ_GlobalAdd.cu
","0.457447"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Thread_Determ_BlockAdd.cu
","0.042329"
"16_2d_PR_CUDA_Pull_FloatType_Persist_Warp_Determ_Reduction.cu
","0.056816"
