"filename","pr"
"_32_ny_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.007746"
"_32_ny_PR-Push_FloatType_Critical_Block.cpp
","0.008276"
"_32_ny_PR-Push_FloatType_Critical_Cyclic.cpp
","0.005487"
"_32_ny_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.005278"
"_32_ny_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.014326"
"_32_ny_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.031125"
"_32_ny_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.016092"
"_32_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.030226"
"_32_ny_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.013259"
"_32_ny_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.013019"
"_32_ny_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.030973"
"_32_ny_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.013852"
"_32_ny_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.027929"
"_32_ny_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.030658"
"_32_ny_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.014749"
"_32_ny_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.027327"
"_16_rmat_PR-Push_FloatType_Critical_Cyclic.cpp
","0.011966"
"_16_rmat_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.011576"
"_16_rmat_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.011653"
"_16_rmat_PR-Push_FloatType_Reduction_Block.cpp
","0.015612"
"_16_rmat_PR-Push_FloatType_Critical_Block.cpp
","0.015699"
"_16_rmat_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.015709"
"_16_rmat_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.025563"
"_16_rmat_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.025151"
"_16_rmat_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.025854"
"_16_rmat_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.035123"
"_16_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.022742"
"_16_rmat_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.035227"
"_16_rmat_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.025482"
"_16_rmat_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.022735"
"_16_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.025382"
"_16_rmat_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.035261"
"_16_rmat_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.022530"
"_16_rmat_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.025529"
"_16_2d_PR-Push_FloatType_Critical_Cyclic.cpp
","0.057625"
"_16_2d_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.056693"
"_16_2d_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.056084"
"_16_2d_PR-Push_FloatType_Reduction_Block.cpp
","0.069565"
"_16_2d_PR-Push_FloatType_Critical_Block.cpp
","0.069213"
"_16_2d_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.070122"
"_16_2d_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.256236"
"_16_2d_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.164283"
"_16_2d_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.257908"
"_16_2d_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.317271"
"_16_2d_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.129535"
"_16_2d_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.315764"
"_16_2d_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.191474"
"_16_2d_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.126607"
"_16_2d_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.163450"
"_16_2d_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.319495"
"_16_2d_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.127977"
"_16_2d_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.164541"
"_16_co_PR-Push_FloatType_Critical_Cyclic.cpp
","0.021143"
"_16_co_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.022308"
"_16_co_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.021887"
"_16_co_PR-Push_FloatType_Reduction_Block.cpp
","0.020103"
"_16_co_PR-Push_FloatType_Critical_Block.cpp
","0.019694"
"_16_co_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.020295"
"_16_co_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.163996"
"_16_co_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.068061"
"_16_co_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.149472"
"_16_co_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.129760"
"_16_co_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.085634"
"_16_co_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.130680"
"_16_co_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.146741"
"_16_co_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.086143"
"_16_co_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.068180"
"_16_co_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.128671"
"_16_co_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.086860"
"_16_co_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.067695"
"_16_soc_PR-Push_FloatType_Critical_Cyclic.cpp
","0.012020"
"_16_soc_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.012174"
"_16_soc_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.012078"
"_16_soc_PR-Push_FloatType_Reduction_Block.cpp
","0.009999"
"_16_soc_PR-Push_FloatType_Critical_Block.cpp
","0.010045"
"_16_soc_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.010009"
"_16_soc_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.028999"
"_16_soc_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.035797"
"_16_soc_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.029439"
"_16_soc_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.052286"
"_16_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.021494"
"_16_soc_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.053024"
"_16_soc_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.028682"
"_16_soc_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.021325"
"_16_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.035551"
"_16_soc_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.052186"
"_16_soc_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.021102"
"_16_soc_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.034901"
"_16_ny_PR-Push_FloatType_Critical_Cyclic.cpp
","0.003782"
