"filename","sssp"
"co_3090_SSSP_E_Data_Push_Determ_IntType_ReadModifyWrite_NonPersist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.074162"
"co_3090_SSSP_E_Data_Push_Determ_IntType_ReadModifyWrite_Persist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.034031"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Persist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.116376"
"co_3090_SSSP_E_Data_Push_Determ_IntType_ReadModifyWrite_Persist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.060619"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadWrite_Persist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.117790"
"co_3090_SSSP_E_Data_Push_Determ_IntType_ReadModifyWrite_NonPersist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.069871"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadWrite_NonPersist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.162824"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Persist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.059873"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_NonPersist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.148423"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_NonPersist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.140945"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadWrite_NonPersist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.140078"
"co_3090_SSSP_E_Data_Push_NonDeterm_IntType_ReadWrite_Persist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2_NonDup.cu
","0.056014"
"co_3090_SSSP_E_Topo_Push_Determ_IntType_ReadModifyWrite_NonPersist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2.cu
","1.017878"
"co_3090_SSSP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_NonPersist_Atomic_Thread_NoBoundsBug1_NoBoundsBug2.cu
","1.289058"
"co_3090_SSSP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_Persist_CudaAtomic_Thread_NoBoundsBug1_NoBoundsBug2.cu
","0.092950"
