"filename","cc"
"omp_32_ny_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000002"
"omp_32_ny_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000045"
"omp_32_ny_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000007"
"omp_32_ny_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000002"
"omp_32_ny_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000003"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000081"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000054"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000036"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000028"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000012"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000071"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000015"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000017"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000011"
"omp_32_ny_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000061"
"omp_32_ny_CC_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000009"
"omp_32_ny_CC_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000055"
"omp_32_ny_CC_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000051"
"omp_32_ny_CC_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000011"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000002"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000003"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.003599"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000003"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000007"
"omp_32_ny_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000089"
"omp_32_ny_CC_OMP_V_Topo_Pull_IntType_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000057"
"omp_32_ny_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000077"
"omp_32_ny_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.009631"
"omp_32_ny_CC_OMP_V_Topo_Pull_IntType_Determ_Default_NoBoundsBug_Atomic.cpp
","0.004060"
"omp_32_rmat_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.000350"
"omp_32_rmat_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000231"
"omp_32_rmat_CC_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000060"
"omp_32_rmat_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000185"
"omp_32_rmat_CC_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000051"
"omp_32_rmat_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.000309"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.281451"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000129"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.002610"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000312"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000058"
"omp_32_rmat_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000135"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoB
","0.004157"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.001005"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000310"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000783"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000189"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000396"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000327"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000126"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000225"
"omp_32_rmat_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.005557"
"omp_32_rmat_CC_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000150"
"omp_32_rmat_CC_OMP_V_Data_Pull_IntType_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.001175"
"omp_32_rmat_CC_OMP_V_Data_Pull_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.001325"
"omp_32_rmat_CC_OMP_V_Data_Pull_IntType_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000238"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000124"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000126"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.368254"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000306"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000333"
"omp_32_rmat_CC_OMP_V_Topo_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.043721"
"omp_32_rmat_CC_OMP_V_Topo_Pull_IntType_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.015860"
"omp_32_rmat_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.030369"
"omp_32_rmat_CC_OMP_V_Topo_Pull_IntType_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.340460"
"omp_32_rmat_CC_OMP_V_Topo_Pull_IntType_Determ_Default_NoBoundsBug_Atomic.cpp
","0.122023"
"omp_32_co_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.000654"
"omp_32_co_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000225"
"omp_32_co_CC_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000055"
"omp_32_co_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000259"
"omp_32_co_CC_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000041"
"omp_32_co_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.000527"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.572503"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000133"
"omp_32_co_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.002464"
