"filename","mis"
"_32_co_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.022606"
"_32_co_MIS_CPP_V_Data_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.015765"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Block.cpp
","2.816893"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","2.660570"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","3.500741"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","1.831814"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Block.cpp
","4.113519"
"_32_co_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Block.cpp
","1.889303"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Block.cpp
","0.086125"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.046481"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.115694"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.067704"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.168189"
"_32_co_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.051165"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Block.cpp
","0.010963"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Block.cpp
","0.009166"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.008055"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.011027"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Block.cpp
","0.006630"
"_32_ny_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.006972"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.023205"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.016078"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Block.cpp
","0.028801"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Block.cpp
","0.035507"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.026049"
"_32_ny_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Block.cpp
","0.019293"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.021340"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.040814"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.020625"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.017996"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.020414"
"_32_ny_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.029433"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.009095"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.010622"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.008763"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_CopyDeterm_Block.cpp
","0.009464"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.011000"
"_32_ny_MIS_CPP_V_Data_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.010362"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.119816"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.109141"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.116966"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.069699"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.132432"
"_32_ny_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.074481"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Block.cpp
","0.061612"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.034346"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.064377"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.055231"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.089798"
"_32_ny_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.037116"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Block.cpp
","0.014313"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Block.cpp
","0.010635"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.010464"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.013679"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Block.cpp
","0.009671"
"_32_2d_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.009070"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.038050"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.034309"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Block.cpp
","0.055507"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Block.cpp
","0.056764"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.032550"
"_32_2d_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Block.cpp
","0.045139"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.036116"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.072430"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.035470"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.036871"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.041042"
"_32_2d_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.076256"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.013150"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.014039"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.013241"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_CopyDeterm_Block.cpp
","0.014199"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.013304"
"_32_2d_MIS_CPP_V_Data_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.013452"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.206949"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.186025"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.249514"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.160418"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.280347"
"_32_2d_MIS_CPP_V_Topo_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.176382"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Block.cpp
","0.128971"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.092854"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.143277"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.113823"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_NonDeterm_Block.cpp
","0.194866"
"_32_2d_MIS_CPP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.096031"
"_32_rmat_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Block.cpp
","0.017717"
"_32_rmat_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Block.cpp
","0.014535"
