"filename","tc"
"__16_2d_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.255284"
"__16_2d_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.316411"
"__16_2d_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.318891"
"__16_2d_TC_CPP_V_IntType_Critical_Block.cpp
","0.186455"
"__16_2d_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.190559"
"__16_2d_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.314911"
"__16_2d_TC_CPP_V_IntType_Reduction_Block.cpp
","0.188697"
"__16_co_TC_CPP_E_IntType_Reduction_Block.cpp
","0.048453"
"__16_co_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.046880"
"__16_co_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.045819"
"__16_co_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.045166"
"__16_co_TC_CPP_E_IntType_Critical_Block.cpp
","0.049189"
"__16_co_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.046891"
"__16_co_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.130230"
"__16_co_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.138292"
"__16_co_TC_CPP_V_IntType_Critical_Block.cpp
","0.055172"
"__16_co_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.053931"
"__16_co_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.139915"
"__16_co_TC_CPP_V_IntType_Reduction_Block.cpp
","0.049278"
"__16_soc_TC_CPP_E_IntType_Reduction_Block.cpp
","0.020713"
"__16_soc_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.020444"
"__16_soc_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.035034"
"__16_soc_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.035763"
"__16_soc_TC_CPP_E_IntType_Critical_Block.cpp
","0.020726"
"__16_soc_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.036796"
"__16_soc_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.052087"
"__16_soc_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.051643"
"__16_soc_TC_CPP_V_IntType_Critical_Block.cpp
","0.009387"
"__16_soc_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.009626"
"__16_soc_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.051306"
"__16_soc_TC_CPP_V_IntType_Reduction_Block.cpp
","0.009080"
"__16_ny_TC_CPP_E_IntType_Reduction_Block.cpp
","0.683683"
"__16_ny_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.675967"
"__16_ny_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.580384"
"__16_ny_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.586904"
