"filename","tc"
"_16_2d_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.255284"
"_16_2d_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.316411"
"_16_2d_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.318891"
"_16_2d_TC_CPP_V_IntType_Critical_Block.cpp
","0.186455"
"_16_2d_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.190559"
"_16_2d_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.314911"
"_16_2d_TC_CPP_V_IntType_Reduction_Block.cpp
","0.188697"
"_16_co_TC_CPP_E_IntType_Reduction_Block.cpp
","0.048453"
"_16_co_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.046880"
"_16_co_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.045819"
"_16_co_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.045166"
"_16_co_TC_CPP_E_IntType_Critical_Block.cpp
","0.049189"
"_16_co_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.046891"
"_16_co_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.130230"
"_16_co_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.138292"
"_16_co_TC_CPP_V_IntType_Critical_Block.cpp
","0.055172"
"_16_co_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.053931"
"_16_co_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.139915"
"_16_co_TC_CPP_V_IntType_Reduction_Block.cpp
","0.049278"
"_16_soc_TC_CPP_E_IntType_Reduction_Block.cpp
","0.020713"
"_16_soc_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.020444"
"_16_soc_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.035034"
"_16_soc_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.035763"
"_16_soc_TC_CPP_E_IntType_Critical_Block.cpp
","0.020726"
"_16_soc_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.036796"
"_16_soc_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.052087"
"_16_soc_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.051643"
"_16_soc_TC_CPP_V_IntType_Critical_Block.cpp
","0.009387"
"_16_soc_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.009626"
"_16_soc_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.051306"
"_16_soc_TC_CPP_V_IntType_Reduction_Block.cpp
","0.009080"
"_16_ny_TC_CPP_E_IntType_Reduction_Block.cpp
","0.683683"
"_16_ny_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.675967"
"_16_ny_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.580384"
"_16_ny_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.586904"
"_16_ny_TC_CPP_E_IntType_Critical_Block.cpp
","0.679862"
"_16_ny_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.580871"
"_16_ny_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.611475"
"_16_ny_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.623510"
"_16_ny_TC_CPP_V_IntType_Critical_Block.cpp
","0.633204"
"_16_ny_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.558994"
"_16_ny_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.606417"
"_16_ny_TC_CPP_V_IntType_Reduction_Block.cpp
","0.623435"
